0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.085,0.095,0.095,0.095,0.095,0.095,0.085,0.085,0.085,0.085,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
